season,round,race_name,race_date,race_time,circuit_id,circuit_name,circuit_url,locality,country,lat,long
2001,1,Australian Grand Prix,2001-03-04,,albert_park,Albert Park Grand Prix Circuit,https://en.wikipedia.org/wiki/Albert_Park_Circuit,Melbourne,Australia,-37.8497,144.968
2001,2,Malaysian Grand Prix,2001-03-18,,sepang,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
2001,3,Brazilian Grand Prix,2001-04-01,,interlagos,Autódromo José Carlos Pace,https://en.wikipedia.org/wiki/Interlagos_Circuit,São Paulo,Brazil,-23.7036,-46.6997
2001,4,San Marino Grand Prix,2001-04-15,,imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Imola,Italy,44.3439,11.7167
2001,5,Spanish Grand Prix,2001-04-29,,catalunya,Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Barcelona,Spain,41.57,2.26111
2001,6,Austrian Grand Prix,2001-05-13,,red_bull_ring,Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.2197,14.7647
2001,7,Monaco Grand Prix,2001-05-27,,monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.7347,7.42056
2001,8,Canadian Grand Prix,2001-06-10,,villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.5,-73.5228
2001,9,European Grand Prix,2001-06-24,,nurburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburg,Germany,50.3356,6.9475
2001,10,French Grand Prix,2001-07-01,,magny_cours,Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,Magny Cours,France,46.8642,3.16361
2001,11,British Grand Prix,2001-07-15,,silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,UK,52.0786,-1.01694
2001,12,German Grand Prix,2001-07-29,,hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheim,Germany,49.3278,8.56583
